0 494,59 76,95
1 494,51 89,4
2 494,43 75,7
3 494,34 88,5
4 494,26 74
5 494,18 92,85
6 494,09 75,95
7 494,01 92,65
8 493,93 79,6
9 493,84 89,95
10 493,76 76,6
11 493,68 92,9
12 493,59 79,9
13 493,51 91,5
14 493,43 76,5
15 493,34 86,8
16 493,26 83,05
17 493,18 92,25
18 493,09 81,45
19 493,01 95,2
20 492,93 82,75
21 492,84 89,05
22 492,76 78,85
23 492,68 89,2
24 492,59 81,45
25 492,51 91,8
26 492,43 76,25
27 492,34 92,15
28 492,26 79,4
29 492,18 90,8
30 492,09 82,95
31 492,01 103,5
32 491,93 101,85
33 491,84 112,6
34 491,76 94,6
35 491,68 108,65
36 491,59 87,15
37 491,51 94,15
38 491,43 82,65
39 491,34 93,2
40 491,26 80,55
41 491,18 88,2
42 491,09 77,85
43 491,01 88,9
44 490,93 81,1
45 490,84 81,75
46 490,76 77,85
47 490,68 90,4
48 490,59 81,25
49 490,51 85,65
50 490,43 76,85
51 490,34 88,1
52 490,26 76,9
53 490,18 90,25
54 490,09 76,7
55 490,01 92,5
56 489,93 78,05
57 489,84 90,6
58 489,76 77
59 489,68 82,9
60 489,59 74,05
61 489,51 85,95
62 489,43 73,35
63 489,34 88,9
64 489,26 72,15
65 489,18 85,55
66 489,09 73,5
67 489,01 82,5
68 488,93 77,1
69 488,84 78,75
70 488,76 72,15
71 488,68 78,8
72 488,59 73,45
73 488,51 85,05
74 488,43 71,95
75 488,34 77,65
76 488,26 74,6
77 488,18 76,8
78 488,09 71,15
79 488,01 80,35
80 487,93 70,05
81 487,84 74,7
82 487,76 68,35
83 487,68 81,4
84 487,59 72,35
85 487,51 79,65
86 487,43 68,75
87 487,34 73,9
88 487,26 65,1
89 487,18 74,05
90 487,09 65,8
91 487,01 73,75
92 486,93 68,65
93 486,84 70,1
94 486,76 65,95
95 486,68 72,15
96 486,59 66,8
97 486,51 71,25
98 486,43 66,65
99 486,34 71,05
100 486,26 61,2
101 486,18 72,2
102 486,09 65,15
103 486,01 69,5
104 485,93 66,3
105 485,84 73,6
106 485,76 64,2
107 485,68 73,3
108 485,59 66,75
109 485,51 71,6
110 485,42 62,95
111 485,34 73,5
112 485,26 63,95
113 485,17 71,75
