0 494,65 -5,84999999999999
1 494,57 -7,8
2 494,49 0,0333333333333314
3 494,4 -4,56666666666668
4 494,32 -6,56666666666668
5 494,24 -9,55
6 494,15 -4,21666666666667
7 494,07 -7,48333333333335
8 493,99 -4,16666666666667
9 493,9 -1,75
10 493,82 -4,81666666666667
11 493,74 -2,08333333333334
12 493,65 -5,83333333333333
13 493,57 -8,65000000000001
14 493,48 -4,78333333333333
15 493,4 -2,73333333333333
16 493,32 -5,76666666666667
17 493,23 -4,56666666666668
18 493,15 -5
19 493,07 -5,65000000000001
20 492,98 -4,83333333333333
21 492,9 -3,3
22 492,82 -1,46666666666667
23 492,73 -1,45
24 492,65 -2,66666666666666
25 492,57 -4,18333333333332
26 492,48 -4,28333333333333
27 492,4 -2,15000000000001
28 492,32 -3,2
29 492,23 -2,84999999999999
30 492,15 -3,8
31 492,07 -4,76666666666667
32 491,98 -6,58333333333333
33 491,9 -1,93333333333332
34 491,82 -6,06666666666668
35 491,73 -3,23333333333333
36 491,65 -6,88333333333333
37 491,57 -2,71666666666667
38 491,48 -8,28333333333333
39 491,4 -7,03333333333333
40 491,32 -9,31666666666668
41 491,23 -0,650000000000006
42 491,15 -4,95
43 491,07 -4
44 490,98 -0,683333333333337
45 490,9 -3,36666666666667
46 490,82 -6,86666666666667
47 490,73 -3,93333333333334
48 490,65 -3,56666666666666
49 490,57 -5,46666666666667
50 490,48 -8,43333333333332
51 490,4 -3,06666666666668
52 490,31 -2,78333333333333
53 490,23 -6,28333333333333
54 490,15 -9,26666666666667
55 490,06 -3,68333333333334
56 489,98 -7,59999999999999
57 489,9 -6
58 489,81 -5,06666666666668
59 489,73 -3,03333333333332
60 489,65 -1,91666666666667
61 489,56 -1,45
62 489,48 -5,83333333333333
63 489,4 -6,59999999999999
64 489,31 -4,58333333333333
65 489,23 -1,93333333333332
66 489,15 -2,31666666666668
67 489,06 -5,06666666666668
68 488,98 -4,36666666666665
69 488,9 -3,76666666666667
70 488,81 -7,88333333333333
71 488,73 -4,95
72 488,65 -8,61666666666666
73 488,56 -9,28333333333333
74 488,48 -5,63333333333333
75 488,4 -3,33333333333334
76 488,31 -4,33333333333334
77 488,23 -5,55
78 488,15 -7,61666666666667
79 488,06 -2,81666666666668
80 487,98 -5,73333333333333
81 487,9 -4,95
82 487,81 -7,93333333333332
83 487,73 -4,15000000000001
84 487,65 -6,26666666666667
85 487,56 -3,90000000000001
86 487,48 -8,76666666666667
87 487,4 -5,81666666666668
88 487,31 -5,25
89 487,23 -3,91666666666667
90 487,14 -3,31666666666668
91 487,06 -6,84999999999999
92 486,98 -4,08333333333333
93 486,89 -3,98333333333333
94 486,81 0,833333333333329
95 486,73 1,48333333333333
96 486,64 -4,08333333333333
97 486,56 -8,16666666666667
98 486,48 -4,45
99 486,39 -8,01666666666667
100 486,31 -4,31666666666668
101 486,23 -5,28333333333333
102 486,14 -7,7
103 486,06 -1,45
104 485,98 -6,11666666666667
105 485,89 -6,13333333333333
106 485,81 -4,71666666666667
107 485,73 -3,65000000000001
108 485,64 -1,76666666666667
109 485,56 -4,55
110 485,48 -4
111 485,39 -5,38333333333333
112 485,31 -6,98333333333333
113 485,23 -4,75
114 485,14 -5,88333333333333
115 485,06 -5,38333333333334
116 484,98 -6,25
117 484,89 -8,36666666666667
118 484,81 -6,66666666666667
119 484,73 -5,59999999999999
120 484,64 -2,83333333333333
121 484,56 -8,8
122 484,48 -6,43333333333332
123 484,39 -6,5
124 484,31 -7,21666666666667
125 484,23 -1,25
126 484,14 -1,86666666666667
127 484,06 -4,21666666666667
128 483,97 -4,06666666666668
129 483,89 -4,58333333333333
130 483,81 -1,38333333333333
131 483,72 -0,516666666666652
132 483,64 -3,43333333333334
133 483,56 -2,58333333333334
134 483,47 -2,18333333333332
135 483,39 -3,93333333333332
136 483,31 -2,53333333333332
137 483,22 -4,90000000000001
138 483,14 -4,33333333333334
139 483,06 -4,08333333333333
140 482,97 -4,48333333333333
141 482,89 -4,68333333333332
142 482,81 -6,73333333333333
143 482,72 -0,766666666666666
144 482,64 -3,93333333333334
145 482,56 -8,7
146 482,47 -5,5
147 482,39 -4,38333333333335
148 482,31 -9,48333333333333
149 482,22 -2
150 482,14 -4,91666666666667
151 482,06 -3,23333333333333
152 481,97 -2,43333333333332
153 481,89 -0,633333333333326
154 481,81 -6,81666666666668
155 481,72 -2,83333333333333
156 481,64 -4,26666666666667
157 481,56 -6,68333333333332
158 481,47 -3,83333333333334
159 481,39 -1,13333333333333
160 481,31 -8,61666666666667
161 481,22 -3,16666666666667
162 481,14 -1,26666666666667
163 481,05 -4,7
164 480,97 -6
165 480,89 -6,33333333333333
166 480,8 -9,68333333333332
167 480,72 -6,26666666666667
168 480,64 -3,19999999999999
169 480,55 -1,05
170 480,47 -7,31666666666668
171 480,39 -1,93333333333332
172 480,3 -3,13333333333333
173 480,22 -4,15000000000001
174 480,14 -7,13333333333333
175 480,05 -1,73333333333333
176 479,97 -5,41666666666667
177 479,89 -4,38333333333333
178 479,8 -4,45
179 479,72 -7,15000000000001
180 479,64 -1,55
181 479,55 -4,01666666666666
182 479,47 -6,16666666666666
183 479,39 -4,43333333333332
184 479,3 -5,83333333333333
185 479,22 -1,93333333333332
186 479,14 -1,28333333333333
187 479,05 -4,3
188 478,97 -5,96666666666667
189 478,89 -9,16666666666667
190 478,8 -8,03333333333333
191 478,72 -4,73333333333333
192 478,64 -7,68333333333332
193 478,55 -3
194 478,47 -2,63333333333333
195 478,39 -5,06666666666668
196 478,3 -4,88333333333333
197 478,22 -6,01666666666667
198 478,14 -3,46666666666667
199 478,05 -5,09999999999999
200 477,97 -5,46666666666667
201 477,88 -6,13333333333333
202 477,8 -4,36666666666667
203 477,72 -2,55
204 477,63 -4,83333333333333
205 477,55 -3,41666666666666
206 477,47 -6,76666666666667
207 477,38 -2,51666666666667
208 477,3 -4,65000000000001
209 477,22 -4,38333333333333
210 477,13 -3,63333333333333
211 477,05 -4,65000000000001
212 476,97 -5,53333333333333
213 476,88 -7,34999999999999
214 476,8 -6,11666666666667
215 476,72 -9,41666666666667
216 476,63 -5,01666666666667
217 476,55 -1,86666666666667
218 476,47 -6,76666666666667
219 476,38 -3,3
220 476,3 -4,59999999999999
221 476,22 -3,68333333333332
222 476,13 -6,91666666666667
223 476,05 -3,93333333333332
224 475,97 -3,06666666666668
225 475,88 -1,5
226 475,8 -3,06666666666667
227 475,72 -4,8
228 475,63 -0,966666666666669
229 475,55 -7,28333333333333
230 475,47 -8,71666666666667
231 475,38 -3,7
232 475,3 -6,78333333333333
233 475,22 -9,53333333333333
234 475,13 -6,93333333333332
235 475,05 -2,13333333333333
236 474,97 -4,5
237 474,88 -2,91666666666667
238 474,8 -2,41666666666667
239 474,71 -6,68333333333334
240 474,63 -2,01666666666665
241 474,55 -5,11666666666667
242 474,46 -6,18333333333332
243 474,38 -4,90000000000001
244 474,3 -3,94999999999999
245 474,21 -5,66666666666666
246 474,13 -4,23333333333333
247 474,05 -5,51666666666665
248 473,96 -3,08333333333333
249 473,88 -5,56666666666667
250 473,8 -5,01666666666667
251 473,71 -6,78333333333333
252 473,63 -5,19999999999999
253 473,55 -5,2
254 473,46 -7,09999999999999
255 473,38 -5,61666666666667
256 473,3 -7,06666666666668
257 473,21 -5,51666666666667
258 473,13 -4,55
259 473,05 -1,11666666666665
260 472,96 -5,38333333333334
261 472,88 -0,533333333333331
262 472,8 -3,16666666666667
263 472,71 -3,33333333333333
264 472,63 -2,71666666666667
265 472,55 -4,45
266 472,46 -3,66666666666667
267 472,38 -0,650000000000006
268 472,3 -1,53333333333333
269 472,21 -2,98333333333333
270 472,13 -2,8
271 472,05 -4,25
272 471,96 -4,96666666666667
273 471,88 -5,16666666666666
274 471,8 -4,21666666666667
275 471,71 -2,11666666666665
276 471,63 -6,23333333333333
